timestamp,index,expiry,strike,option_type,oi,prev_oi,oi_change_pct
2026-02-24 09:47:48,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:47:48,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:47:48,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:47:48,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:48:53,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:48:53,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:48:53,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:48:53,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:49:57,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:49:57,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:49:57,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:49:57,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:51:02,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:51:02,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:51:02,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:51:02,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:56:42,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:56:42,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:56:42,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:56:42,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:57:47,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:57:47,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:57:47,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:57:47,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:58:52,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:58:52,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:58:52,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:58:53,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 09:59:57,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 09:59:57,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 09:59:57,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 09:59:57,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 10:01:02,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 10:01:02,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 10:01:02,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 10:01:02,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 10:02:09,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 10:02:09,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 10:02:09,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 10:02:09,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
2026-02-24 10:03:15,ASIANPAINT,24FEB2026,2400,CE,60000,60000,0.0
2026-02-24 10:03:15,ASIANPAINT,24FEB2026,2400,PE,148000,148000,0.0
2026-02-24 10:03:15,ASIANPAINT,24FEB2026,2500,CE,398250,398250,0.0
2026-02-24 10:03:15,ASIANPAINT,24FEB2026,2500,PE,79500,79500,0.0
