timestamp,index,expiry,strike,option_type,oi,prev_oi,oi_change_pct
2026-02-24 09:47:47,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:47:47,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:47:47,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
2026-02-24 09:47:47,COALINDIA,24FEB2026,430,PE,351000,351000,0.0
2026-02-24 09:47:47,COALINDIA,24FEB2026,440,CE,2785050,2785050,0.0
2026-02-24 09:47:47,COALINDIA,24FEB2026,440,PE,502200,502200,0.0
2026-02-24 09:48:51,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:48:51,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:48:51,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
2026-02-24 09:48:51,COALINDIA,24FEB2026,430,PE,351000,351000,0.0
2026-02-24 09:48:51,COALINDIA,24FEB2026,440,CE,2785050,2785050,0.0
2026-02-24 09:48:51,COALINDIA,24FEB2026,440,PE,502200,502200,0.0
2026-02-24 09:49:56,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:49:56,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:49:56,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
2026-02-24 09:49:56,COALINDIA,24FEB2026,430,PE,351000,351000,0.0
2026-02-24 09:49:56,COALINDIA,24FEB2026,440,CE,2785050,2785050,0.0
2026-02-24 09:49:56,COALINDIA,24FEB2026,440,PE,502200,502200,0.0
2026-02-24 09:51:00,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:51:00,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:51:00,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
2026-02-24 09:51:00,COALINDIA,24FEB2026,430,PE,351000,351000,0.0
2026-02-24 09:51:00,COALINDIA,24FEB2026,440,CE,2785050,2785050,0.0
2026-02-24 09:51:00,COALINDIA,24FEB2026,440,PE,502200,502200,0.0
2026-02-24 09:56:40,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:56:40,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:56:40,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
2026-02-24 09:56:40,COALINDIA,24FEB2026,430,PE,351000,351000,0.0
2026-02-24 09:56:40,COALINDIA,24FEB2026,440,CE,2785050,2785050,0.0
2026-02-24 09:56:40,COALINDIA,24FEB2026,440,PE,502200,502200,0.0
2026-02-24 09:57:45,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:57:45,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:57:45,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
2026-02-24 09:57:45,COALINDIA,24FEB2026,430,PE,351000,351000,0.0
2026-02-24 09:57:45,COALINDIA,24FEB2026,440,CE,2785050,2785050,0.0
2026-02-24 09:57:45,COALINDIA,24FEB2026,440,PE,502200,502200,0.0
2026-02-24 09:58:50,COALINDIA,24FEB2026,420,CE,507600,507600,0.0
2026-02-24 09:58:50,COALINDIA,24FEB2026,420,PE,660150,660150,0.0
2026-02-24 09:58:50,COALINDIA,24FEB2026,430,CE,1321650,1321650,0.0
