timestamp,index,expiry,strike,option_type,oi,prev_oi,oi_change_pct
2026-03-06 05:27:42,MIDCAPSELECT,31MAR2026,13200,CE,156720,156720,0.0
2026-03-06 05:27:42,MIDCAPSELECT,31MAR2026,13200,PE,247560,247560,0.0
2026-03-06 05:27:42,MIDCAPSELECT,31MAR2026,13225,CE,42480,42480,0.0
2026-03-06 05:27:42,MIDCAPSELECT,31MAR2026,13225,PE,46560,46560,0.0
2026-03-06 05:27:42,MIDCAPSELECT,31MAR2026,13250,CE,53640,53640,0.0
2026-03-06 05:27:42,MIDCAPSELECT,31MAR2026,13250,PE,71040,71040,0.0
2026-03-06 05:28:42,MIDCAPSELECT,31MAR2026,13200,CE,156720,156720,0.0
2026-03-06 05:28:42,MIDCAPSELECT,31MAR2026,13200,PE,246480,247560,-0.44
2026-03-06 05:28:42,MIDCAPSELECT,31MAR2026,13225,CE,43200,42480,1.69
2026-03-06 05:28:42,MIDCAPSELECT,31MAR2026,13225,PE,46440,46560,-0.26
2026-03-06 05:28:42,MIDCAPSELECT,31MAR2026,13250,CE,53520,53640,-0.22
2026-03-06 05:28:42,MIDCAPSELECT,31MAR2026,13250,PE,71640,71040,0.84
2026-03-06 05:29:43,MIDCAPSELECT,31MAR2026,13200,CE,156840,156720,0.08
2026-03-06 05:29:43,MIDCAPSELECT,31MAR2026,13200,PE,246480,246480,0.0
2026-03-06 05:29:43,MIDCAPSELECT,31MAR2026,13225,CE,43200,43200,0.0
2026-03-06 05:29:43,MIDCAPSELECT,31MAR2026,13225,PE,46440,46440,0.0
2026-03-06 05:29:43,MIDCAPSELECT,31MAR2026,13250,CE,53520,53520,0.0
2026-03-06 05:29:43,MIDCAPSELECT,31MAR2026,13250,PE,71640,71640,0.0
2026-03-06 05:30:43,MIDCAPSELECT,31MAR2026,13200,CE,156840,156840,0.0
2026-03-06 05:30:43,MIDCAPSELECT,31MAR2026,13200,PE,246480,246480,0.0
2026-03-06 05:30:43,MIDCAPSELECT,31MAR2026,13225,CE,43200,43200,0.0
2026-03-06 05:30:43,MIDCAPSELECT,31MAR2026,13225,PE,46440,46440,0.0
2026-03-06 05:30:43,MIDCAPSELECT,31MAR2026,13250,CE,53520,53520,0.0
