timestamp,index,expiry,strike,option_type,oi,prev_oi,oi_change_pct
2026-03-03 08:11:28,ONGC,30MAR2026,275,CE,1152000,1152000,0.0
2026-03-03 08:11:28,ONGC,30MAR2026,275,PE,1577250,1577250,0.0
2026-03-03 08:11:28,ONGC,30MAR2026,280,CE,8262000,8262000,0.0
2026-03-03 08:11:28,ONGC,30MAR2026,280,PE,1806750,1806750,0.0
2026-03-03 08:11:28,ONGC,30MAR2026,285,CE,6511500,6511500,0.0
2026-03-03 08:11:28,ONGC,30MAR2026,285,PE,488250,488250,0.0
2026-03-03 08:38:18,ONGC,30MAR2026,275,CE,1152000,1152000,0.0
2026-03-03 08:38:18,ONGC,30MAR2026,275,PE,1577250,1577250,0.0
2026-03-03 08:38:18,ONGC,30MAR2026,280,CE,8262000,8262000,0.0
2026-03-03 08:38:18,ONGC,30MAR2026,280,PE,1806750,1806750,0.0
2026-03-03 08:38:18,ONGC,30MAR2026,285,CE,6511500,6511500,0.0
2026-03-03 08:38:18,ONGC,30MAR2026,285,PE,488250,488250,0.0
2026-03-03 09:12:38,ONGC,30MAR2026,275,CE,1152000,1152000,0.0
2026-03-03 09:12:38,ONGC,30MAR2026,275,PE,1577250,1577250,0.0
2026-03-03 09:12:38,ONGC,30MAR2026,280,CE,8262000,8262000,0.0
2026-03-03 09:12:38,ONGC,30MAR2026,280,PE,1806750,1806750,0.0
2026-03-03 09:12:38,ONGC,30MAR2026,285,CE,6511500,6511500,0.0
2026-03-03 09:12:38,ONGC,30MAR2026,285,PE,488250,488250,0.0
